,service_id,trip_id,direction,route_id
106,y1002,3307.y1002.60-11-d12-1.15.O,1,11
107,y1002,3308.y1002.60-11-d12-1.16.I,2,11
108,y1002,3309.y1002.60-11-d12-1.15.O,1,11
109,y1002,3310.y1002.60-11-d12-1.15.O,1,11
110,y1002,3311.y1002.60-11-d12-1.15.O,1,11
111,y1002,3312.y1002.60-11-d12-1.15.O,1,11
112,y1002,3313.y1002.60-11-d12-1.16.I,2,11
113,y1002,3327.y1002.60-11-d12-1.16.I,2,11
114,y1002,3328.y1002.60-11-d12-1.15.O,1,11
115,y1002,3329.y1002.60-11-d12-1.16.I,2,11
116,y1002,3330.y1002.60-11-d12-1.15.O,1,11
117,y1002,3331.y1002.60-11-d12-1.16.I,2,11
118,y1002,3332.y1002.60-11-d12-1.14.O,1,11
119,y1002,3333.y1002.60-11-d12-1.16.I,2,11
120,y1002,3334.y1002.60-11-d12-1.15.O,1,11
121,y1002,3335.y1002.60-11-d12-1.16.I,2,11
122,y1002,3336.y1002.60-11-d12-1.16.I,2,11
123,y1002,3337.y1002.60-11-d12-1.15.O,1,11
124,y1002,3342.y1002.60-11-d12-1.16.I,2,11
125,y1002,3343.y1002.60-11-d12-1.15.O,1,11
126,y1002,3344.y1002.60-11-d12-1.16.I,2,11
127,y1002,3345.y1002.60-11-d12-1.15.O,1,11
128,y1002,3346.y1002.60-11-d12-1.16.I,2,11
129,y1002,3347.y1002.60-11-d12-1.16.I,2,11
130,y1002,3348.y1002.60-11-d12-1.15.O,1,11
131,y1002,3349.y1002.60-11-d12-1.16.I,2,11
132,y1002,3350.y1002.60-11-d12-1.15.O,1,11
133,y1002,3351.y1002.60-11-d12-1.16.I,2,11
134,y1002,3352.y1002.60-11-d12-1.15.O,1,11
135,y1002,3353.y1002.60-11-d12-1.17.I,2,11
136,y1002,3354.y1002.60-11-d12-1.16.I,2,11
137,y1002,3355.y1002.60-11-d12-1.16.I,2,11
138,y1002,3356.y1002.60-11-d12-1.15.O,1,11
139,y1002,3357.y1002.60-11-d12-1.16.I,2,11
140,y1002,3358.y1002.60-11-d12-1.15.O,1,11
141,y1002,3450.y1002.60-11-d12-1.16.I,2,11
142,y1002,3451.y1002.60-11-d12-1.15.O,1,11
143,y1001,9446.y1001.60-11-d12-1.16.I,2,11
144,y1001,9447.y1001.60-11-d12-1.15.O,1,11
145,y1001,9448.y1001.60-11-d12-1.16.I,2,11
146,y1001,9449.y1001.60-11-d12-1.15.O,1,11
147,y1001,9450.y1001.60-11-d12-1.16.I,2,11
148,y1001,9451.y1001.60-11-d12-1.15.O,1,11
149,y1001,9452.y1001.60-11-d12-1.16.I,2,11
150,y1001,9453.y1001.60-11-d12-1.15.O,1,11
151,y1001,9454.y1001.60-11-d12-1.16.I,2,11
152,y1001,9455.y1001.60-11-d12-1.15.O,1,11
153,y1001,9456.y1001.60-11-d12-1.16.I,2,11
154,y1001,9457.y1001.60-11-d12-1.15.O,1,11
155,y1001,9458.y1001.60-11-d12-1.16.I,2,11
156,y1001,9459.y1001.60-11-d12-1.15.O,1,11
157,y1001,9460.y1001.60-11-d12-1.16.I,2,11
158,y1001,9461.y1001.60-11-d12-1.15.O,1,11
159,y1001,9462.y1001.60-11-d12-1.16.I,2,11
160,y1001,9463.y1001.60-11-d12-1.15.O,1,11
161,y1001,9464.y1001.60-11-d12-1.16.I,2,11
162,y1001,9465.y1001.60-11-d12-1.15.O,1,11
163,y1001,9466.y1001.60-11-d12-1.16.I,2,11
164,y1001,9467.y1001.60-11-d12-1.15.O,1,11
165,y1001,9468.y1001.60-11-d12-1.16.I,2,11
166,y1001,9469.y1001.60-11-d12-1.14.O,1,11
167,y1001,9470.y1001.60-11-d12-1.16.I,2,11
168,y1001,9471.y1001.60-11-d12-1.15.O,1,11
169,y1001,9472.y1001.60-11-d12-1.16.I,2,11
170,y1001,9473.y1001.60-11-d12-1.15.O,1,11
171,y1001,9474.y1001.60-11-d12-1.16.I,2,11
172,y1001,9475.y1001.60-11-d12-1.15.O,1,11
173,y1001,9476.y1001.60-11-d12-1.16.I,2,11
174,y1001,9477.y1001.60-11-d12-1.15.O,1,11
175,y1001,9478.y1001.60-11-d12-1.17.I,2,11
176,y1001,9479.y1001.60-11-d12-1.15.O,1,11
177,y1001,9480.y1001.60-11-d12-1.16.I,2,11
178,y1001,9481.y1001.60-11-d12-1.15.O,1,11
179,y1001,9482.y1001.60-11-d12-1.16.I,2,11
180,y1001,9483.y1001.60-11-d12-1.15.O,1,11
181,y1001,9484.y1001.60-11-d12-1.16.I,2,11
182,y1001,9485.y1001.60-11-d12-1.15.O,1,11
183,y1001,9486.y1001.60-11-d12-1.16.I,2,11
184,y1001,9487.y1001.60-11-d12-1.16.I,2,11
185,y1001,9488.y1001.60-11-d12-1.15.O,1,11
186,y1001,9489.y1001.60-11-d12-1.16.I,2,11
187,y1001,9490.y1001.60-11-d12-1.15.O,1,11
188,y1001,9491.y1001.60-11-d12-1.16.I,2,11
189,y1001,9492.y1001.60-11-d12-1.15.O,1,11
190,y1001,9493.y1001.60-11-d12-1.16.I,2,11
191,y1001,9494.y1001.60-11-d12-1.15.O,1,11
192,y1001,9495.y1001.60-11-d12-1.16.I,2,11
193,y1001,9496.y1001.60-11-d12-1.15.O,1,11
194,y1001,9497.y1001.60-11-d12-1.16.I,2,11
195,y1001,9498.y1001.60-11-d12-1.15.O,1,11
196,y1001,9663.y1001.60-11-d12-1.15.O,1,11
197,y1001,9664.y1001.60-11-d12-1.16.I,2,11
198,y1001,9665.y1001.60-11-d12-1.15.O,1,11
199,y1001,9666.y1001.60-11-d12-1.16.I,2,11
200,y1001,9667.y1001.60-11-d12-1.15.O,1,11
201,y1001,9668.y1001.60-11-d12-1.16.I,2,11
202,y1001,9669.y1001.60-11-d12-1.15.O,1,11
203,y1001,9670.y1001.60-11-d12-1.16.I,2,11
204,y1001,9671.y1001.60-11-d12-1.16.I,2,11
205,y1001,9672.y1001.60-11-d12-1.15.O,1,11
206,y1001,9673.y1001.60-11-d12-1.16.I,2,11
207,y1001,9674.y1001.60-11-d12-1.15.O,1,11
208,y1001,9675.y1001.60-11-d12-1.16.I,2,11
209,y1001,9676.y1001.60-11-d12-1.15.O,1,11
210,y1001,9677.y1001.60-11-d12-1.16.I,2,11
211,y1001,9678.y1001.60-11-d12-1.15.O,1,11
212,y1003,13315.y1003.60-120-d12-1.63.I,2,120
213,y1003,13316.y1003.60-120-d12-1.62.O,1,120
214,y1003,13317.y1003.60-120-d12-1.63.I,2,120
215,y1003,13318.y1003.60-120-d12-1.62.O,1,120
216,y1003,13319.y1003.60-120-d12-1.63.I,2,120
217,y1003,13320.y1003.60-120-d12-1.62.O,1,120
218,y1003,13321.y1003.60-120-d12-1.63.I,2,120
219,y1003,13322.y1003.60-120-d12-1.62.O,1,120
220,y1003,13323.y1003.60-120-d12-1.63.I,2,120
221,y1003,13324.y1003.60-120-d12-1.62.O,1,120
222,y1003,13325.y1003.60-120-d12-1.63.I,2,120
223,y1003,13326.y1003.60-120-d12-1.62.O,1,120
224,y1003,13327.y1003.60-120-d12-1.63.I,2,120
225,y1003,13328.y1003.60-120-d12-1.62.O,1,120
226,y1003,13329.y1003.60-120-d12-1.63.I,2,120
227,y1003,13330.y1003.60-120-d12-1.62.O,1,120
228,y1003,13331.y1003.60-120-d12-1.63.I,2,120
229,y1003,13332.y1003.60-120-d12-1.62.O,1,120
230,y1003,13333.y1003.60-120-d12-1.63.I,2,120
231,y1003,13334.y1003.60-120-d12-1.62.O,1,120
232,y1003,13335.y1003.60-120-d12-1.63.I,2,120
233,y1003,13336.y1003.60-120-d12-1.62.O,1,120
234,y1003,13337.y1003.60-120-d12-1.63.I,2,120
235,y1003,13338.y1003.60-120-d12-1.62.O,1,120
236,y1003,13339.y1003.60-120-d12-1.63.I,2,120
