,line_id,route_id,direction,stoppoint_id,progr_number
240,104,15,1,4597,20
242,104,15,1,4784,11
243,104,15,1,4791,13
244,104,15,1,4792,14
245,104,15,1,5141,7
246,104,15,1,7571,34
248,104,16,2,227,6
249,104,16,2,228,4
250,104,16,2,229,5
251,104,16,2,230,7
252,104,16,2,231,8
253,104,16,2,232,9
254,104,16,2,233,10
255,104,16,2,242,11
256,104,16,2,243,12
257,104,16,2,244,14
258,104,16,2,245,15
259,104,16,2,253,13
260,104,16,2,530,23
261,104,16,2,674,20
262,104,16,2,1220,18
263,104,16,2,1221,19
264,104,16,2,1605,3
265,104,16,2,1644,2
266,104,16,2,1744,30
268,104,16,2,1745,31
270,104,16,2,1746,32
272,104,16,2,1747,33
274,104,16,2,1748,34
276,104,16,2,1749,35
278,104,16,2,1764,25
280,104,16,2,1765,26
282,104,16,2,1766,27
284,104,16,2,1767,28
286,104,16,2,4389,21
287,104,16,2,4390,22
288,104,16,2,4474,16
289,104,16,2,4785,24
290,104,16,2,4790,17
291,104,16,2,7129,29
293,104,16,2,7571,1
294,104,16,2,7607,25
295,11,40,1,35,2
296,11,40,1,36,3
297,11,40,1,37,4
298,11,40,1,38,5
299,11,40,1,39,6
300,11,40,1,40,7
301,11,40,1,41,8
302,11,40,1,42,9
303,11,40,1,43,10
304,11,40,1,44,11
305,11,40,1,45,13
306,11,40,1,46,14
307,11,40,1,47,15
308,11,40,1,48,16
309,11,40,1,49,17
310,11,40,1,51,18
311,11,40,1,52,19
312,11,40,1,261,20
313,11,40,1,271,21
314,11,40,1,404,22
315,11,40,1,441,52
316,11,40,1,442,53
317,11,40,1,443,54
318,11,40,1,444,55
319,11,40,1,445,56
320,11,40,1,449,61
321,11,40,1,747,23
322,11,40,1,842,24
323,11,40,1,845,25
324,11,40,1,846,26
325,11,40,1,847,27
326,11,40,1,848,28
327,11,40,1,849,29
328,11,40,1,850,30
329,11,40,1,851,31
330,11,40,1,852,32
331,11,40,1,853,33
332,11,40,1,854,34
333,11,40,1,855,35
334,11,40,1,856,36
335,11,40,1,857,37
336,11,40,1,858,38
337,11,40,1,859,39
338,11,40,1,860,40
339,11,40,1,861,41
340,11,40,1,862,42
341,11,40,1,3014,43
342,11,40,1,3015,44
343,11,40,1,3016,45
344,11,40,1,3017,46
345,11,40,1,3018,47
346,11,40,1,3019,48
347,11,40,1,3020,49
348,11,40,1,3021,50
