,stop_id,name,lat,lon
0,2,Parnell Square West,53.3522443611407,-6.2637232189188214
1,3,Parnell Square West,53.352308551434895,-6.26381074216821
2,4,Parnell Square West,53.3525745131874,-6.2641754860379315
3,6,Parnell Square West,53.352749335706996,-6.26445380396429
4,7,Parnell Square West,53.352840910580795,-6.2645702612174405
5,8,Parnell Square West,53.35327227148461,-6.26518367657395
6,10,Parnell Square West,53.3533921036497,-6.26538912389949
7,11,St Joseph's Parade,53.3568152335319,-6.26467919507521
8,12,Upper Dorset Street,53.35710751620461,-6.26438186733525
9,14,Dorset Street Lower,53.358531237878196,-6.26277650570866
10,15,Innisfallen Parade,53.360266707598896,-6.26097804267247
11,16,Nephin Road Park,53.3663915571432,-6.3056141835273305
12,17,Drumcondra Rail Stn,53.363078324380396,-6.25839928847829
13,18,Dargle Road,53.365855925919114,-6.2559568206783
14,19,Botanic Avenue,53.3672348759349,-6.25559994097697
15,21,DCU St Patrick's,53.3701011992972,-6.254310599044371
16,22,Home Farm Road,53.373503609743096,-6.25280375269001
17,23,Ferguson Road,53.3742282800816,-6.25626100416695
18,24,Walsh Road,53.3751331588865,-6.26037234812314
19,25,Rathlin Road,53.3758994661498,-6.26361773641705
20,27,Ballymun Road,53.379438960013104,-6.26658526125999
21,28,Hampstead Avenue,53.381578637630504,-6.26600227077734
22,29,Albert College Park,53.383488252948204,-6.26566910125412
23,30,Ventry Park,53.370331900195104,-6.30460116922909
24,31,St Pappin's Road,53.3860332259168,-6.2688580772749605
25,32,Stormanstown Road,53.386195568076104,-6.27137720104136
26,33,Glasnevin Drive,53.3887179243081,-6.271771141224459
27,35,Dean Swift Road,53.3862067871037,-6.270910692540951
28,36,Maolbuille Road,53.3861268504134,-6.26787706978334
29,37,DCU Ballymun Road,53.385346401196394,-6.2648869813179004
30,38,Hampstead Avenue,53.382236594166095,-6.26550952120501
31,39,The Rise,53.3804141869347,-6.265658759065841
32,40,Stella Avenue,53.3766607654531,-6.2646689685279
33,41,Home Farm Road,53.375559268328296,-6.2618580062466505
34,42,Corpus Christi NS,53.37465027346,-6.2574611897212895
35,43,Achill Road,53.3738612202293,-6.253901310433871
36,44,Skylon Hotel,53.373017409122895,-6.2521323032429095
37,45,DCU St Patrick's,53.36993643440311,-6.254106940849612
38,46,Botanic Avenue,53.36713101621761,-6.255258556550079
39,47,Drumcondra Rail Stn,53.3639161189952,-6.25729825652797
40,48,Fitzroy Avenue,53.36225739012529,-6.25880841233312
41,49,Dorset Street Lower,53.3600042378903,-6.26085350834049
42,51,Temple Street,53.3578104088118,-6.26327157246547
43,52,Dorset Street Upper,53.3566607792373,-6.26456528204094
44,53,North Circular Road,53.3600144884247,-6.26279128910748
45,54,Mater Hospital,53.3602216080572,-6.26590803396304
46,55,Mountjoy,53.3604116029257,-6.26846957982232
47,56,Dalymount,53.360759724606396,-6.2763736549140505
48,57,Dalymount,53.36081622429421,-6.27655167484326
49,58,Churchview Home,53.3609462458936,-6.28120420246718
50,59,Annamoe Terrace,53.36101801019861,-6.28494256312823
51,60,Quarry Road,53.3612792196503,-6.28936450005441
52,63,Faussaugh Avenue,53.366792437295196,-6.292750108058491
53,64,Faussaugh Ave Church,53.367088582068796,-6.29523278220332
54,65,Dingle Road,53.3672546442408,-6.29805127641295
55,66,Broombridge Road,53.3672749883724,-6.3007403455498805
56,68,Ventry Drive,53.36907750804811,-6.30424523466637
57,69,Carnlough Road,53.3713925640956,-6.3033417168952095
58,71,Ventry Park,53.370257689331,-6.304438805303482
59,72,Ventry Drive,53.3689699260271,-6.30426453600159
60,73,Faussagh Avenue,53.3673915527279,-6.30072067865566
61,74,Faussaugh Ave Church,53.367200238565594,-6.29549881400774
62,75,Fionnbarra GAA,53.366547229896796,-6.2913173193679
63,77,Quarry Road,53.36130918190471,-6.28957365234684
64,78,Annamoe Terrace,53.361149215192796,-6.2840658352747
65,79,Churchview Home,53.3610212509784,-6.280795505621481
66,80,Phibsborough PO,53.3608629632753,-6.2760539615295805
67,81,Phibsborough,53.3608757479082,-6.271966626916032
68,82,Phibsborough,53.360797795917904,-6.27154908016377
69,83,Mater Hospital,53.360279249824714,-6.26554509616271
70,84,Leo Street,53.3601625615987,-6.263701780590969
71,85,Wellpark Avenue,53.3739579526161,-6.25191342966416
72,86,Home Farm FC,53.3760502204615,-6.25116639066164
73,87,Clare Road,53.3767517255744,-6.25488028992455
74,88,Walnut Rise,53.3772872553016,-6.25769922864556
75,90,Albert College Court,53.386385531676204,-6.26526567275517
76,91,Ballymun Road NS,53.38842788965079,-6.26540814207678
77,92,Ballymun Library,53.3898373340536,-6.264674240361002
78,93,Gateway Avenue,53.3923014677522,-6.264152975610089
79,94,Civic Centre,53.396034762414,-6.26437695995443
80,102,Balbutcher Lane,53.397773070168505,-6.26771985697008
81,104,Poppintree Parade,53.3997562075198,-6.276812945025232
82,105,Belclare Park,53.402936396684105,-6.281692696469442
83,107,Crannogue Road,53.4020356254354,-6.27968361815457
84,110,Árd Na Meala,53.397938640963794,-6.26860038147326
85,112,Civic Centre,53.3961544015487,-6.26395104030175
86,113,Trinity Comp School,53.39226796292871,-6.26370325464242
87,114,Ballymun Road,53.391333322056894,-6.263711229252322
88,115,Ballymun Road Church,53.387964091989495,-6.265036100481441
89,116,Griffith Lawns,53.37769346064611,-6.25966673989331
90,117,Walnut Rise,53.3773659067276,-6.2575457084552095
91,118,Clare Road,53.376643001693296,-6.25359209857676
92,119,The Village,53.3751904807261,-6.25076574528229
93,126,Nursing Home,53.3990954666878,-6.264086960560402
